target,model_class,hp,validation_mode,lead_hours,shipped_in_v1,baseline_mae,corrected_mae,mae_reduction_pct,baseline_bias,corrected_bias,bias_correction_pct,n_stations,n_failures,n_eval,absolute_mae,target_mean,target_std,baseline_mae_for_reference,note
dew_point,HGB,"max_depth=10, lr=0.1",within_station,48.0,True,1.9299568965517242,0.9163249077886505,52.52096513523911,0.4918534482758621,0.06580775155363383,,,,6960.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",within_station,72.0,True,1.9299568965517242,0.9467210736821041,50.945999085595055,0.4918534482758621,0.05619553997285051,,,,6960.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",april,1.0,True,2.5092714158359675,0.6811405908039304,72.85504523323925,1.5319474835886215,0.07881750952881098,,,,12339.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",april,6.0,True,2.5179336755479507,1.0920422184507623,56.62942876312605,1.5434694043836064,0.3152893374655051,,,,12273.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",april,24.0,True,2.5321190396798934,1.1153807559864277,55.95069826861566,1.5543431143714572,0.37649620712959725,,,,11996.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",april,48.0,True,2.5506384814495253,1.1490021956756482,54.95236961128762,1.5718636755823987,0.39422326050974876,,,,11590.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",april,72.0,True,2.573240567299973,1.175731170933763,54.30931775774762,1.6155918294532157,0.44999645604323546,,,,11211.0,,,,,
wind_speed,Ridge,alpha=10.0,LOSO,1.0,True,7.369997143235624,1.9763305025341962,67.06429780985681,-5.75844977073262,-0.04540232482286747,99.21155299376535,26.0,0.0,,,,,,
wind_speed,Ridge,alpha=10.0,LOSO,6.0,True,7.369997143235624,3.5696606501025627,42.78585514240428,-5.75844977073262,-0.0007219217060864576,99.987463262947,26.0,1.0,,,,,,
wind_speed,Ridge,alpha=10.0,LOSO,24.0,True,7.369997143235624,3.8053843782032626,39.54268633895762,-5.75844977073262,0.010486380678582699,99.8178957688946,26.0,1.0,,,,,,
wind_speed,Ridge,alpha=10.0,LOSO,48.0,True,7.369997143235624,4.057583610345407,35.7747684075275,-5.75844977073262,-0.004190371868339257,99.92723090353871,26.0,4.0,,,,,,
wind_speed,Ridge,alpha=10.0,LOSO,72.0,True,7.369997143235624,4.2183417701307,33.5241068211501,-5.75844977073262,-0.00171988186370949,99.9701329015241,26.0,4.0,,,,,,
wind_speed,Ridge,alpha=10.0,within_station,1.0,True,7.888218390804598,1.8718488605995407,76.27032153696986,-6.338390804597701,-0.018593065868240184,,,,6960.0,,,,,
wind_speed,Ridge,alpha=10.0,within_station,6.0,True,7.888218390804598,3.4196368797871703,56.64880572052257,-6.338390804597701,-0.08905928971407814,,,,6960.0,,,,,
wind_speed,Ridge,alpha=10.0,within_station,24.0,True,7.888218390804598,3.6358579010344028,53.90774290335609,-6.338390804597701,-0.09220972544382802,,,,6960.0,,,,,
wind_speed,Ridge,alpha=10.0,within_station,48.0,True,7.888218390804598,3.909342657600899,50.440740051542285,-6.338390804597701,0.0033044551326710477,,,,6960.0,,,,,
wind_speed,Ridge,alpha=10.0,within_station,72.0,True,7.888218390804598,4.021201891431301,49.02268557727979,-6.338390804597701,0.04381730327761449,,,,6960.0,,,,,
wind_speed,Ridge,alpha=10.0,april,1.0,True,8.169965151146771,1.851338028687632,77.33970715373529,-7.203695599319231,-0.22594827750125984,,,,12339.0,,,,,
wind_speed,Ridge,alpha=10.0,april,6.0,True,8.157850566283713,3.3057566502248763,59.477602300199955,-7.19355495803797,-0.4878302795295244,,,,12273.0,,,,,
wind_speed,Ridge,alpha=10.0,april,24.0,True,8.041955651883962,3.2736840997921894,59.2924377912321,-7.077867622540848,-0.5559946914484598,,,,11996.0,,,,,
wind_speed,Ridge,alpha=10.0,april,48.0,True,7.8746505608283,3.460561157800328,56.05441624274022,-6.92421052631579,-0.6752513890723322,,,,11590.0,,,,,
wind_speed,Ridge,alpha=10.0,april,72.0,True,7.866952100615467,3.6232696494469323,53.94315863238232,-6.922451164035323,-0.7274786113238598,,,,11211.0,,,,,
wind_gust,Ridge,alpha=0.1,LOSO,1.0,True,16.99242439272322,2.438401297390041,82.9711541839775,-16.710235771550394,0.019827800541107596,99.8813433825101,26.0,0.0,,,,,,
wind_gust,Ridge,alpha=0.1,LOSO,6.0,True,16.99242439272322,4.276042150810292,70.5470723893353,-16.710235771550394,0.06116002618303651,99.63399662925664,26.0,1.0,,,,,,
wind_gust,Ridge,alpha=0.1,LOSO,24.0,True,16.99242439272322,4.528932241912553,68.6790445278395,-16.710235771550394,0.06398398461287685,99.61709705663274,26.0,1.0,,,,,,
wind_gust,Ridge,alpha=0.1,LOSO,48.0,True,16.99242439272322,4.8019090819628625,66.85766913412769,-16.710235771550394,0.049871671717209076,99.7015501612364,26.0,1.0,,,,,,
wind_gust,Ridge,alpha=0.1,LOSO,72.0,True,16.99242439272322,4.985022716046189,65.67119618052821,-16.710235771550394,0.047587921249126024,99.71521693709346,26.0,1.0,,,,,,
wind_gust,Ridge,alpha=0.1,within_station,1.0,True,17.674080459770117,2.373959609973583,86.56812944029984,-17.3408908045977,-0.0793942217805565,,,,6960.0,,,,,
wind_gust,Ridge,alpha=0.1,within_station,6.0,True,17.674080459770117,4.159203701809733,76.46721303958671,-17.3408908045977,-0.1837121555137511,,,,6960.0,,,,,
wind_gust,Ridge,alpha=0.1,within_station,24.0,True,17.674080459770117,4.372734871631981,75.2590530433239,-17.3408908045977,-0.19037946254468793,,,,6960.0,,,,,
wind_gust,Ridge,alpha=0.1,within_station,48.0,True,17.674080459770117,4.698437725242213,73.41622532534672,-17.3408908045977,-0.08274637950735128,,,,6960.0,,,,,
wind_gust,Ridge,alpha=0.1,within_station,72.0,True,17.674080459770117,4.844433627498587,72.59018007457007,-17.3408908045977,-0.019065080185157773,,,,6960.0,,,,,
wind_gust,Ridge,alpha=0.1,april,1.0,True,19.165321338844315,2.413326662428761,87.40784660084239,-18.99480508955345,-0.08625598892906941,,,,12339.0,,,,,
wind_gust,Ridge,alpha=0.1,april,6.0,True,19.159814226350523,4.120996458254031,78.49145920952397,-18.98885358103153,-0.42872960258051407,,,,12273.0,,,,,
wind_gust,Ridge,alpha=0.1,april,24.0,True,18.8519423141047,4.039335810756195,78.57337061903678,-18.677117372457484,-0.5346207572462438,,,,11996.0,,,,,
wind_gust,Ridge,alpha=0.1,april,48.0,True,18.39879206212252,4.237213480026633,76.9701539877188,-18.238377911993098,-0.6984036593514287,,,,11590.0,,,,,
wind_gust,Ridge,alpha=0.1,april,72.0,True,18.35080724288645,4.446677886261187,75.76848894216951,-18.186058335563285,-0.7735586123075471,,,,11211.0,,,,,
pressure,Ridge,alpha=0.1,LOSO,1.0,True,6.529036434761261,0.4361955802019463,92.59097146162534,-4.677628667116194,0.018166330544245796,99.61163376067117,25.0,0.0,,,,,,
pressure,Ridge,alpha=0.1,LOSO,6.0,True,6.529036434761261,1.0619676062910657,81.89125719441611,-4.677628667116194,0.05559735626553981,98.81142005443078,25.0,0.0,,,,,,
pressure,Ridge,alpha=0.1,LOSO,24.0,True,6.529036434761261,1.9456085142641302,66.9800469386234,-4.677628667116194,0.06547837095508922,98.60018022774224,25.0,0.0,,,,,,
pressure,Ridge,alpha=0.1,LOSO,48.0,True,6.529036434761261,2.5763276494429896,56.696154081378324,-4.677628667116194,0.06978909650762583,98.50802401228972,25.0,0.0,,,,,,
pressure,Ridge,alpha=0.1,LOSO,72.0,True,6.529036434761261,2.9847710966128282,50.31179461240939,-4.677628667116194,0.06162844226653573,98.68248536486479,25.0,0.0,,,,,,
pressure,Ridge,alpha=0.1,within_station,1.0,True,6.752148611111112,0.39402617411368446,94.16443273382212,-4.7768763888888905,0.00269361193135911,,,,7200.0,,,,,
pressure,Ridge,alpha=0.1,within_station,6.0,True,6.752148611111112,0.9383421499711808,86.10305838904262,-4.7768763888888905,0.04504576255174615,,,,7200.0,,,,,
pressure,Ridge,alpha=0.1,within_station,24.0,True,6.752148611111112,1.838206408283707,72.77597822330486,-4.7768763888888905,0.19886278579609648,,,,7200.0,,,,,
pressure,Ridge,alpha=0.1,within_station,48.0,True,6.752148611111112,2.3721677891401627,64.86795647186139,-4.7768763888888905,0.32020965274428753,,,,7200.0,,,,,
